,vis
10.0,0.7460099693602231
1.0,0.038551241596926876
9.0,0.03425252663831344
2.0,0.03416106461791741
8.0,0.025586500205789547
3.0,0.02373439429276993
5.0,0.023437142726482826
7.0,0.02272831206841359
6.0,0.021036264691087027
4.0,0.014725385283760918
0.75,0.00793433026935565
0.5,0.005167604152375726
0.25,0.001760643892623588
0.12,0.0008460236886632825
0.06,4.573101019801528e-05
73.0,2.286550509900764e-05
