,precip_hrly
0.0,0.7821831984268532
0.01,0.027461471623908173
0.02,0.013147665431929391
0.03,0.00832304385603878
0.04,0.006333744912425115
0.05,0.004024328897425344
0.06,0.0037042118260392372
0.07,0.002789591622078932
0.08,0.0026752640965838933
0.09,0.0018978369232176338
0.1,0.0015548543467325193
0.11,0.001509123336534504
0.13,0.0012804682855444276
0.14,0.0010746787396533589
0.12,0.0009832167192573285
0.15,0.0008688891937622903
0.17,0.0008688891937622903
0.16,0.0007774271733662596
0.19,0.000754561668267252
0.21,0.0006402341427722138
0.18,0.0006173686376732062
0.2,0.0005945031325741986
0.23,0.0004801756070791604
0.22,0.0004573101019801527
0.25,0.0004573101019801527
0.28,0.00041157909178213747
0.26,0.00034298257648511456
0.32,0.0003201170713861069
0.24,0.0002972515662870993
0.36,0.0002972515662870993
0.52,0.00027438606118809165
0.3,0.00027438606118809165
0.37,0.000251520556089084
0.34,0.000251520556089084
0.27,0.00022865505099007636
0.31,0.00022865505099007636
0.33,0.00020578954589106874
0.4,0.0001829240407920611
0.47,0.00016005853569305345
0.6,0.00016005853569305345
0.38,0.00016005853569305345
0.41,0.00013719303059404582
0.35,0.00013719303059404582
0.29,0.00013719303059404582
0.46,0.00013719303059404582
0.51,0.00013719303059404582
0.39,0.00013719303059404582
0.42,0.00013719303059404582
0.45,0.00013719303059404582
0.63,0.00011432752549503818
0.48,0.00011432752549503818
0.62,0.00011432752549503818
0.57,9.146202039603055e-05
0.44,9.146202039603055e-05
0.67,6.859651529702291e-05
0.53,6.859651529702291e-05
0.49,6.859651529702291e-05
0.72,6.859651529702291e-05
0.7,6.859651529702291e-05
0.66,6.859651529702291e-05
0.69,6.859651529702291e-05
0.56,6.859651529702291e-05
0.94,6.859651529702291e-05
0.74,6.859651529702291e-05
0.43,6.859651529702291e-05
0.77,6.859651529702291e-05
0.54,4.573101019801528e-05
0.75,4.573101019801528e-05
0.84,4.573101019801528e-05
0.78,4.573101019801528e-05
0.8,4.573101019801528e-05
0.95,4.573101019801528e-05
0.58,4.573101019801528e-05
0.73,4.573101019801528e-05
0.64,4.573101019801528e-05
0.97,4.573101019801528e-05
0.81,2.286550509900764e-05
0.55,2.286550509900764e-05
0.83,2.286550509900764e-05
0.5,2.286550509900764e-05
0.93,2.286550509900764e-05
0.61,2.286550509900764e-05
1.02,2.286550509900764e-05
1.13,2.286550509900764e-05
1.98,2.286550509900764e-05
0.59,2.286550509900764e-05
0.68,2.286550509900764e-05
1.19,2.286550509900764e-05
1.1,2.286550509900764e-05
1.06,2.286550509900764e-05
0.76,2.286550509900764e-05
1.2,2.286550509900764e-05
0.79,2.286550509900764e-05
0.98,2.286550509900764e-05
0.82,2.286550509900764e-05
0.96,2.286550509900764e-05
1.03,2.286550509900764e-05
0.85,2.286550509900764e-05
0.91,2.286550509900764e-05
