,wdir_cardinal
S,0.10172863218548497
W,0.10047102940503956
SSW,0.09633237298211918
WSW,0.074838798189052
N,0.06564686513925093
SW,0.06502949650157772
E,0.06459505190469657
NNE,0.056066218502766725
WNW,0.05403118854895505
CALM,0.047811771162024966
NW,0.04287282206063932
ENE,0.04179814332098596
NE,0.03887135866831298
NNW,0.03834545205103581
SSE,0.03722504230118443
SE,0.029953811679700005
ESE,0.027987378241185346
VAR,0.015937257054008322
