valid_time_gmt,wdir
2012-05-27 04:53:00,310.0
2012-05-27 21:53:00,330.0
2012-05-29 04:53:00,350.0
2012-05-29 05:53:00,300.0
2012-06-05 06:53:00,340.0
2012-06-05 07:53:00,330.0
2012-06-05 08:53:00,340.0
2012-06-05 09:53:00,290.0
2012-06-05 12:53:00,310.0
2012-06-05 13:53:00,300.0
2012-06-05 21:53:00,340.0
2012-06-05 22:53:00,320.0
2012-06-11 04:53:00,10.0
2012-06-11 05:53:00,330.0
2012-06-16 04:53:00,20.0
2012-06-18 04:53:00,40.0
2012-06-25 04:53:00,320.0
