,wdir_cardinal
WNW,0.17611878737884099
CALM,0.16931326046607548
NW,0.13363580119612292
ESE,0.10971334295731079
W,0.08207877912971746
SE,0.07217983089296762
NNW,0.047638688389358634
SSE,0.045782635594968035
S,0.04124561765312436
E,0.03196535368117138
VAR,0.02784079191585894
WSW,0.01876675603217158
N,0.011961229119406063
SSW,0.008661579707156114
SW,0.008249123530624871
ENE,0.00804289544235925
NNE,0.003712105588781192
NE,0.002680965147453083
