,uv_index
0,0.5036089915446483
1,0.23180037121055888
2,0.08682202515982677
3,0.05465044339038977
4,0.03794596824087441
5,0.027428335739327698
6,0.01752938750257785
7,0.014642194266859147
8,0.010517632501546711
9,0.009692720148484223
10,0.005361930294906166
