,wdir
300.0,0.10002062280882656
290.0,0.07609816457001443
310.0,0.07465456795215508
120.0,0.0672303567745927
320.0,0.058981233243967826
110.0,0.042482986182718084
130.0,0.040008249123530626
280.0,0.036296143534749435
330.0,0.032790266034233864
140.0,0.032171581769437
270.0,0.03010930088678078
150.0,0.024747370591874613
160.0,0.021035265003093422
170.0,0.01752938750257785
260.0,0.015673334708187256
100.0,0.015260878531656011
340.0,0.014848422355124768
180.0,0.013404825737265416
250.0,0.010930088678077954
190.0,0.01031140441328109
90.0,0.009692720148484223
240.0,0.007836667354093628
80.0,0.00701175500103114
200.0,0.005155702206640545
350.0,0.005155702206640545
220.0,0.004330789853578057
70.0,0.004330789853578057
360.0,0.0041245617653124355
230.0,0.003918333677046814
60.0,0.003712105588781192
210.0,0.00350587750051557
10.0,0.002680965147453083
30.0,0.0020622808826562177
50.0,0.001856052794390596
20.0,0.0016498247061249743
40.0,0.0008249123530624871
