,osmid,geometry,fclass,name
0,153758936,POINT (-87.6163847 41.8518677),attraction,McCormick Place
1,258490031,POINT (-87.6438467 41.9512273),parking,
2,269688947,POINT (-87.7721932 42.0040769),post_box,
3,269689708,POINT (-87.7809228 42.0078098),pitch,
4,269689709,POINT (-87.7800183 42.0071886),pitch,
5,269689710,POINT (-87.780263 42.0081566),pitch,
6,269689724,POINT (-87.780255 42.006608),pitch,
7,269690517,POINT (-87.7619595 42.0011422),pitch,
8,269690553,POINT (-87.7611184 42.0006829),pitch,
9,269691663,POINT (-87.7634036 41.9988654),bicycle,Edgebrook Cycle
10,271275487,POINT (-87.6331198 41.8841747),theatre,Cadillac Palace Theatre
11,271275603,POINT (-87.6255101 41.8848116),theatre,Storefront Theater
12,271275710,POINT (-87.6213182 41.8795714),theatre,Rubloff Auditorium
13,271275794,POINT (-87.6251452 41.8759684),theatre,Auditorium Theatre
14,271278525,POINT (-87.605819 41.8915514),theatre,Chicago Shakespeare Theater
15,282370094,POINT (-87.8373006 41.9763227),convenience,7-Eleven
16,286372329,POINT (-87.6515509 41.9241721),bicycle_parking,
17,286372562,POINT (-87.6492816 41.9256056),fast_food,McDonald's
18,286855523,POINT (-87.6352138 41.9227574),fountain,Eli Bates Fountain
19,287160477,POINT (-87.6532996 41.9260389),books,DePaul University Bookstore
20,287160478,POINT (-87.6535271 41.9256497),post_office,
21,287161903,POINT (-87.652705 41.9400583),restaurant,Clarke's
22,287181435,POINT (-87.6210452 41.8839379),bicycle_parking,
23,287314332,POINT (-87.654035 41.986611),drinking_water,
24,300051942,POINT (-87.626422 41.8796732),fast_food,McDonald's
25,306736993,POINT (-87.628652 41.8808257),hotel,Hampton Majestic Chicago Theatre District
26,306737605,POINT (-87.6279187 41.8800973),fast_food,Subway
27,306737694,POINT (-87.6246653 41.8802258),fast_food,Cozi
28,306737766,POINT (-87.626422 41.880648),fast_food,Corner Bakery Cafe
29,306740690,POINT (-87.6200636 41.892821),fast_food,Einstein Bros. Bagels
30,306741002,POINT (-87.6096584 41.8914263),restaurant,Bubba Gump Shrimp Co.
31,306741800,POINT (-87.609667 41.8919311),restaurant,Capi's Italian Kitchen
32,306742663,POINT (-87.6259094 41.8806046),pharmacy,CVS Pharmacy
33,306743175,POINT (-87.6264274 41.8814867),restaurant,Ada's Famous Deli & Restaurant
34,306744246,POINT (-87.6258565 41.8846313),fast_food,Qdoba Mexican Grill
35,306744421,POINT (-87.6259067 41.8834107),retail,Staples The Office Superstore
36,306744471,POINT (-87.626481 41.8843674),cafe,Starbucks Coffee
37,306744602,POINT (-87.6263353 41.8831644),cafe,Starbucks Coffee
38,307455970,POINT (-87.6259628 41.8839093),fast_food,McDonald's
39,308676840,POINT (-87.6564275 41.9255487),fuel,Mobil
40,308677177,POINT (-87.6568567 41.9254401),restaurant,Branko's Submarines
41,308677372,POINT (-87.6685702 41.924878),fuel,BP
42,310690950,POINT (-87.6265776 41.8783539),fast_food,
43,310690970,POINT (-87.6273347 41.8779269),books,Barnes and Noble
44,311438932,POINT (-87.6693323 41.9757947),theatre,Neofuturists
45,313107974,POINT (-87.6093038 41.8919284),cinema,Navy Pier IMAX Theatre
46,313771462,POINT (-87.669906 41.8713984),fast_food,Sbarro
47,317637543,POINT (-87.69856 41.9907178),fast_food,Wolfy's
48,318274065,POINT (-87.6255232 41.8819671),restaurant,Pizano's Pizza & Pasta
49,318274413,POINT (-87.6272156 41.8822267),fast_food,Jimmy John's
50,318276729,POINT (-87.6330295 41.920917),cafe,Park Place Cafe
51,344806004,POINT (-87.6377346 41.9035282),attraction,Seward Fountain
52,344806011,POINT (-87.6391428 41.9035461),attraction,Seward Clock
53,344810332,POINT (-87.7093649 41.9833412),convenience,7-Eleven
54,345385501,POINT (-87.648996 41.9374643),restaurant,Clark St Dog
55,346207271,POINT (-87.66165 41.9290156),restaurant,Rose Angelis
56,346210195,POINT (-87.6535647 41.9291497),restaurant,Lou Malnati's
57,346233089,POINT (-87.6835267 41.9612616),cafe,Julius Meinl
58,346234680,POINT (-87.6761596 41.9616382),cafe,Starbucks
59,346235240,POINT (-87.6766491 41.9616342),restaurant,La Amistad
60,346359040,POINT (-87.6798386 41.9175738),pub,Map Room
61,346368476,POINT (-87.6761732 41.9615509),post_box,
62,347158474,POINT (-87.6316738 41.8859392),pub,Midtown Kitchen & Bar
63,347159885,POINT (-87.6348689 41.9112846),cafe,Starbucks
64,347160446,POINT (-87.638364 41.9126984),restaurant,Twin Anchors
65,347162170,POINT (-87.6534874 41.9285367),cafe,Savor the Flavor
66,347301872,POINT (-87.6789343 41.9547023),cafe,Starbucks
67,347433838,POINT (-87.6532745 41.9291567),pub,The Grand Central
