valid_time_gmt,wc
2013-07-18 15:51:00,99.0
2013-07-19 13:51:00,98.0
2013-07-19 14:51:00,98.0
2013-07-19 15:51:00,99.0
2013-07-19 16:51:00,99.0
2013-11-24 03:51:00,10.0
2013-11-24 04:51:00,9.0
2013-11-24 05:51:00,10.0
2013-11-24 06:51:00,9.0
2013-11-24 07:51:00,10.0
2013-11-24 08:51:00,9.0
2013-11-24 09:51:00,9.0
2013-11-24 10:51:00,11.0
2013-11-24 21:51:00,11.0
2013-11-24 22:51:00,11.0
2013-11-25 00:51:00,11.0
2013-11-25 01:51:00,11.0
2013-11-25 03:51:00,11.0
2013-11-25 05:51:00,11.0
2013-11-25 06:51:00,11.0
2013-12-12 05:51:00,11.0
2013-12-12 08:51:00,11.0
2013-12-12 09:51:00,10.0
2013-12-12 20:51:00,11.0
2013-12-12 21:51:00,11.0
2013-12-12 23:51:00,11.0
2013-12-14 11:45:00,9.0
2013-12-14 11:51:00,10.0
2013-12-14 12:47:00,10.0
2013-12-14 12:51:00,11.0
2013-12-14 13:08:00,11.0
2013-12-14 13:32:00,10.0
2013-12-14 13:51:00,9.0
2013-12-14 15:51:00,11.0
2013-12-14 16:51:00,11.0
2013-12-14 18:25:00,11.0
2013-12-14 19:51:00,11.0
2013-12-14 21:00:00,11.0
2013-12-25 01:51:00,9.0
2013-12-25 02:51:00,10.0
2013-12-25 03:51:00,7.0
2013-12-25 04:51:00,7.0
2013-12-25 05:51:00,6.0
2013-12-25 06:51:00,6.0
2013-12-25 07:51:00,9.0
2013-12-25 08:51:00,7.0
2013-12-25 09:51:00,11.0
2013-12-30 23:51:00,11.0
2013-12-31 00:51:00,11.0
2014-01-02 11:57:00,11.0
2014-01-02 19:16:00,10.0
2014-01-02 19:30:00,10.0
2014-01-02 19:37:00,9.0
2014-01-02 19:46:00,10.0
2014-01-02 19:47:00,11.0
2014-01-02 19:55:00,9.0
2014-01-02 20:03:00,10.0
2014-01-02 20:10:00,11.0
2014-01-02 20:35:00,10.0
2014-01-02 20:51:00,10.0
2014-01-02 21:14:00,7.0
2014-01-02 21:48:00,7.0
2014-01-02 21:51:00,6.0
2014-01-02 22:51:00,4.0
2014-01-02 23:37:00,3.0
2014-01-02 23:51:00,2.0
2014-01-03 00:46:00,2.0
2014-01-03 00:47:00,1.0
2014-01-03 00:51:00,1.0
2014-01-03 01:51:00,-3.0
2014-01-03 02:09:00,-6.0
2014-01-03 02:51:00,-7.0
2014-01-03 03:51:00,-6.0
2014-01-03 04:51:00,-6.0
2014-01-03 05:51:00,-7.0
2014-01-03 06:14:00,-8.0
2014-01-03 06:51:00,-7.0
2014-01-03 07:46:00,-6.0
2014-01-03 07:51:00,-6.0
2014-01-03 08:49:00,-6.0
2014-01-03 08:51:00,-8.0
2014-01-03 09:51:00,-4.0
2014-01-03 10:34:00,-1.0
2014-01-03 10:51:00,-1.0
2014-01-03 11:51:00,4.0
2014-01-03 12:51:00,4.0
2014-01-03 13:51:00,2.0
2014-01-03 14:51:00,2.0
2014-01-03 15:51:00,0.0
2014-01-03 16:51:00,-1.0
2014-01-03 17:51:00,-2.0
2014-01-03 18:51:00,1.0
2014-01-03 19:51:00,-1.0
2014-01-03 20:51:00,-4.0
2014-01-03 21:51:00,0.0
2014-01-03 22:51:00,-3.0
2014-01-03 23:51:00,-7.0
2014-01-04 00:51:00,-4.0
2014-01-04 01:51:00,2.0
2014-01-04 02:51:00,10.0
2014-01-04 03:51:00,11.0
2014-01-04 04:51:00,11.0
2014-01-04 05:51:00,11.0
2014-01-04 06:51:00,3.0
2014-01-04 07:51:00,4.0
2014-01-04 08:51:00,5.0
2014-01-04 09:51:00,9.0
2014-01-04 10:51:00,8.0
2014-01-04 11:51:00,11.0
2014-01-06 22:51:00,11.0
2014-01-06 23:51:00,3.0
2014-01-07 00:51:00,-4.0
2014-01-07 01:51:00,-7.0
2014-01-07 02:51:00,-7.0
2014-01-07 03:51:00,-10.0
2014-01-07 04:51:00,-13.0
2014-01-07 05:51:00,-16.0
2014-01-07 06:51:00,-18.0
2014-01-07 07:51:00,-17.0
2014-01-07 08:51:00,-16.0
2014-01-07 09:51:00,-18.0
2014-01-07 10:51:00,-13.0
2014-01-07 11:51:00,-11.0
2014-01-07 12:51:00,-10.0
2014-01-07 13:51:00,-10.0
2014-01-07 14:51:00,-8.0
2014-01-07 15:51:00,-11.0
2014-01-07 16:51:00,-10.0
2014-01-07 17:51:00,-10.0
2014-01-07 18:51:00,-10.0
2014-01-07 19:51:00,-8.0
2014-01-07 20:51:00,-8.0
2014-01-07 21:51:00,-11.0
2014-01-07 22:51:00,-9.0
2014-01-07 23:51:00,-9.0
2014-01-08 00:51:00,-7.0
2014-01-08 01:51:00,-5.0
2014-01-08 02:51:00,-7.0
2014-01-08 03:51:00,-7.0
2014-01-08 04:51:00,-5.0
2014-01-08 05:51:00,-7.0
2014-01-08 06:51:00,-6.0
2014-01-08 07:51:00,-5.0
2014-01-08 08:51:00,-3.0
2014-01-08 09:51:00,0.0
2014-01-08 10:51:00,3.0
2014-01-08 11:51:00,7.0
2014-01-08 12:51:00,8.0
2014-01-08 13:51:00,9.0
2014-01-08 14:51:00,8.0
2014-01-08 16:51:00,9.0
2014-01-08 17:51:00,9.0
2014-01-08 18:51:00,8.0
2014-01-08 19:51:00,9.0
2014-01-21 08:51:00,9.0
2014-01-21 09:18:00,9.0
2014-01-21 09:51:00,10.0
2014-01-21 10:51:00,9.0
2014-01-21 11:51:00,7.0
2014-01-21 12:51:00,4.0
2014-01-21 13:25:00,3.0
2014-01-21 13:47:00,3.0
2014-01-21 13:51:00,1.0
2014-01-21 14:08:00,2.0
2014-01-21 14:15:00,2.0
2014-01-21 14:51:00,1.0
2014-01-21 15:46:00,-1.0
2014-01-21 15:51:00,0.0
2014-01-21 16:19:00,-1.0
2014-01-21 16:51:00,-2.0
2014-01-21 17:47:00,1.0
2014-01-21 17:51:00,-2.0
2014-01-21 18:46:00,-1.0
2014-01-21 18:51:00,0.0
2014-01-21 19:44:00,-3.0
2014-01-21 19:51:00,-4.0
2014-01-21 20:51:00,-5.0
2014-01-21 21:35:00,-5.0
2014-01-21 21:51:00,-7.0
2014-01-21 22:04:00,-6.0
2014-01-21 22:17:00,-6.0
2014-01-21 22:51:00,-4.0
2014-01-21 23:51:00,-5.0
2014-01-22 00:51:00,-6.0
2014-01-22 01:51:00,-4.0
2014-01-22 02:51:00,-8.0
2014-01-22 03:51:00,-8.0
2014-01-22 04:51:00,-8.0
2014-01-22 05:51:00,-11.0
2014-01-22 06:51:00,-8.0
2014-01-22 07:51:00,-10.0
2014-01-22 08:51:00,-14.0
2014-01-22 09:51:00,-14.0
2014-01-22 10:51:00,-11.0
2014-01-22 11:51:00,-6.0
2014-01-22 12:51:00,-1.0
2014-01-22 13:51:00,2.0
