,temp
73.0,0.029956932950515117
75.0,0.028648032426954906
72.0,0.025206890727917583
77.0,0.023876878905590274
79.0,0.022631312278331362
74.0,0.02223019760175646
70.0,0.021681303833811855
76.0,0.02121685526093565
63.0,0.02096351967573045
55.0,0.019760175646005743
57.0,0.01950684006080054
66.0,0.01935906096943084
81.0,0.018577942915048135
64.0,0.018514609018746832
78.0,0.018451275122445533
71.0,0.017522377976693128
37.0,0.017226819793953723
48.0,0.017057929403816924
59.0,0.016867927714913022
50.0,0.01676237122107752
52.0,0.016572369532173618
68.0,0.01648792433710522
80.0,0.016382367843269716
54.0,0.01629792264820132
65.0,0.016171254855598716
61.0,0.016171254855598716
39.0,0.016171254855598716
46.0,0.016086809660530315
45.0,0.015516804593818611
36.0,0.015516804593818611
69.0,0.015495693295051512
56.0,0.015474581996284412
82.0,0.01534791420368181
67.0,0.01532680290491471
47.0,0.015010133423408208
58.0,0.014545684850532004
43.0,0.014503462252997805
60.0,0.014165681472724201
53.0,0.013933457186286101
41.0,0.013701232899847999
62.0,0.013701232899847999
49.0,0.013321229522040196
83.0,0.013152339131903395
51.0,0.013067893936834994
34.0,0.012814558351629791
44.0,0.01239233237628779
38.0,0.01237122107752069
42.0,0.012350109778753589
84.0,0.012117885492315487
40.0,0.011927883803411586
85.0,0.010935652761357878
32.0,0.009267860158756967
86.0,0.009204526262455666
35.0,0.008887856780949164
30.0,0.008887856780949164
87.0,0.00833896301300456
33.0,0.008106738726566459
88.0,0.007241175477115352
31.0,0.006375612227664246
28.0,0.005932274953555142
89.0,0.005932274953555142
90.0,0.005467826380678939
27.0,0.004792264820131734
29.0,0.004771153521364634
91.0,0.004264482350954231
25.0,0.0036733659854754266
26.0,0.0034833642965715252
92.0,0.003061138321229522
24.0,0.0030189157236953216
23.0,0.002934470528626921
93.0,0.0028711366323256205
22.0,0.0021955750717784156
21.0,0.0020055733828745143
18.0,0.0019844620841074144
94.0,0.0019000168890390137
19.0,0.0017944603952035128
16.0,0.001667792602600912
20.0,0.001646681303833812
17.0,0.0013511231210944098
95.0,0.001245566627258909
15.0,0.000971119743286607
96.0,0.0007177841580814051
14.0,0.0006122276642459044
12.0,0.00046444857287620335
13.0,0.0004433372741091032
97.0,0.00033778078027360244
11.0,0.00025333558520520183
98.0,0.00021111298767100152
7.0,0.00012666779260260091
10.0,0.00012666779260260091
8.0,0.00010555649383550076
9.0,8.444519506840061e-05
99.0,4.2222597534200305e-05
6.0,4.2222597534200305e-05
100.0,4.2222597534200305e-05
118.0,2.1111298767100152e-05
