,max_temp
82.0,0.0013300118223273096
85.0,0.001266677926026009
86.0,0.001245566627258909
84.0,0.0012244553284918088
89.0,0.0011822327309576085
73.0,0.0010977875358892078
87.0,0.0010766762371221077
88.0,0.0010555649383550076
83.0,0.0010344536395879074
72.0,0.0010344536395879074
92.0,0.0010133423408208073
75.0,0.0010133423408208073
61.0,0.0009922310420537072
39.0,0.0009922310420537072
78.0,0.0009922310420537072
74.0,0.000971119743286607
68.0,0.000971119743286607
69.0,0.000971119743286607
80.0,0.0009500084445195068
64.0,0.0009288971457524067
90.0,0.0009288971457524067
77.0,0.0009077858469853066
67.0,0.0009077858469853066
91.0,0.0009077858469853066
40.0,0.0008866745482182063
54.0,0.0008655632494511062
63.0,0.0008444519506840061
81.0,0.000823340651916906
53.0,0.000823340651916906
50.0,0.000823340651916906
49.0,0.0007811180543827056
57.0,0.0007811180543827056
51.0,0.0007811180543827056
66.0,0.0007600067556156055
42.0,0.0007388954568485054
45.0,0.0007388954568485054
79.0,0.0007388954568485054
65.0,0.0007388954568485054
71.0,0.0007388954568485054
76.0,0.0007177841580814051
60.0,0.000696672859314305
38.0,0.0006755615605472049
44.0,0.0006755615605472049
48.0,0.0006544502617801048
52.0,0.0006544502617801048
47.0,0.0006333389630130045
58.0,0.0006333389630130045
34.0,0.0006122276642459044
93.0,0.0005700050667117041
56.0,0.0005700050667117041
33.0,0.0005700050667117041
59.0,0.0005700050667117041
43.0,0.0005488937679446039
70.0,0.0005488937679446039
46.0,0.0005488937679446039
94.0,0.0005488937679446039
35.0,0.0005488937679446039
62.0,0.0004855598716433035
55.0,0.00046444857287620335
36.0,0.0004433372741091032
41.0,0.00042222597534200305
95.0,0.00042222597534200305
37.0,0.00040111467657490287
31.0,0.00038000337780780274
30.0,0.00035889207904070256
96.0,0.00029555818273940213
97.0,0.00025333558520520183
26.0,0.00019000168890390137
29.0,0.00016889039013680122
28.0,0.00016889039013680122
21.0,0.00016889039013680122
27.0,0.00012666779260260091
98.0,0.00012666779260260091
23.0,0.00010555649383550076
25.0,0.00010555649383550076
24.0,0.00010555649383550076
22.0,0.00010555649383550076
19.0,8.444519506840061e-05
15.0,8.444519506840061e-05
100.0,6.333389630130046e-05
32.0,6.333389630130046e-05
18.0,6.333389630130046e-05
20.0,4.2222597534200305e-05
99.0,4.2222597534200305e-05
16.0,4.2222597534200305e-05
17.0,4.2222597534200305e-05
118.0,2.1111298767100152e-05
10.0,2.1111298767100152e-05
101.0,2.1111298767100152e-05
