valid_time_gmt,rh
2017-06-18 11:53:00,29.0
2017-06-18 12:53:00,26.0
2017-06-18 13:53:00,24.0
2017-06-18 14:53:00,23.0
2017-06-18 15:53:00,22.0
2017-06-18 16:53:00,30.0
2017-06-18 17:53:00,31.0
2017-06-18 18:53:00,32.0
2017-06-18 19:53:00,34.0
2017-06-19 10:53:00,36.0
2017-06-22 10:53:00,37.0
2017-06-22 11:53:00,37.0
2017-06-22 12:53:00,32.0
2017-06-22 13:53:00,30.0
2017-06-22 14:53:00,31.0
2017-06-22 15:53:00,36.0
