,wdir
360.0,0.14594574387219778
10.0,0.08506440371011892
170.0,0.05563932260838141
350.0,0.054634117974471125
180.0,0.05195495686342924
190.0,0.047007854718854235
250.0,0.03982604144599933
270.0,0.038646379809509565
230.0,0.03736702845726011
260.0,0.03223716183379232
240.0,0.03059643526191396
210.0,0.03035967218698468
220.0,0.028565257303310113
200.0,0.02714467885373442
160.0,0.026712690085442393
280.0,0.02670853634728574
290.0,0.024980581274117643
20.0,0.024349213074306222
340.0,0.02247587716565523
150.0,0.02192342999082024
330.0,0.020332548276821724
310.0,0.017616003522369958
300.0,0.016660643746339517
320.0,0.013977328897140982
30.0,0.012461214469962243
140.0,0.01115694068877286
130.0,0.0072275043925781
40.0,0.005358322222083764
50.0,0.0045608044960061805
120.0,0.003385296597673076
110.0,0.0032108395950936047
70.0,0.0031111498793339066
60.0,0.0030114601635742085
90.0,0.002940846614911089
80.0,0.0027082372781384607
100.0,0.002500550370305757
