,temp
54.0,0.07616709657856588
52.0,0.07512035456308905
55.0,0.07382023452005633
57.0,0.0698866444857049
50.0,0.06858652444267219
59.0,0.06266329383128347
48.0,0.05905784911130772
61.0,0.05814402671684382
63.0,0.05275662832766348
64.0,0.047128313125397205
46.0,0.044212388939426035
66.0,0.03894129521863201
45.0,0.03163902353923413
68.0,0.03147287401296797
70.0,0.026338853651343527
72.0,0.02179051036980731
43.0,0.02136682907782859
73.0,0.018018916123565404
75.0,0.01593789330708171
41.0,0.014367780283866465
77.0,0.013499649009125763
79.0,0.011813231317524205
81.0,0.010276348199562196
39.0,0.00839885855275455
82.0,0.00838639733828459
84.0,0.006957511412395585
86.0,0.005765388561435865
88.0,0.0047311077604289984
37.0,0.004120508251400848
90.0,0.004024972273797805
91.0,0.003219147071406913
93.0,0.0023427083203529015
95.0,0.0019148732902175313
36.0,0.0015991891903118212
97.0,0.0013541186390692303
99.0,0.0010467420154768284
100.0,0.0007476728681977345
102.0,0.0005399859603650305
34.0,0.0004942948406418356
104.0,0.0004569111972319489
106.0,0.0003115303617490561
108.0,0.0001993794315193959
32.0,0.0001287658828562765
109.0,9.138223944638977e-05
111.0,6.230607234981121e-05
30.0,2.9076167096578565e-05
28.0,2.4922428939924486e-05
113.0,1.2461214469962243e-05
