,wdir_cardinal
N,0.28564426555678785
S,0.1546021341906649
W,0.09759207799058763
WSW,0.07042247670791328
SW,0.06593228576057023
SSW,0.0575043510407191
SSE,0.04863612007626263
NNW,0.042808425442476955
WNW,0.04164122502045716
NNE,0.03681042754426846
NW,0.03159333241951094
SE,0.018384445081350963
CALM,0.017520467544766914
NE,0.009919126718089945
E,0.008149634263355307
ESE,0.00659613619276668
ENE,0.006122610042908115
VAR,1.6614952626616324e-05
