valid_time_gmt,gust
2017-02-25 15:22:00,46.0
2017-02-25 15:24:00,46.0
2017-03-01 12:52:00,45.0
2017-03-01 13:49:00,54.0
2017-03-01 13:52:00,54.0
2017-03-01 13:54:00,54.0
2017-03-02 02:52:00,39.0
2017-03-02 12:52:00,39.0
2017-03-02 15:52:00,40.0
2017-03-08 03:36:00,44.0
2017-03-08 03:49:00,40.0
2017-03-14 15:52:00,40.0
2017-03-14 17:52:00,44.0
2017-03-14 21:52:00,41.0
2017-03-15 10:52:00,39.0
2017-03-15 11:52:00,40.0
2017-03-15 16:52:00,46.0
2017-03-15 17:52:00,47.0
2017-04-06 13:47:00,49.0
2017-04-06 13:52:00,49.0
2017-04-07 09:52:00,39.0
2017-06-19 15:42:00,41.0
2017-06-19 15:46:00,52.0
2017-06-19 15:52:00,52.0
2017-06-19 15:55:00,40.0
2017-07-14 16:37:00,43.0
2017-07-14 16:44:00,44.0
2017-07-14 16:49:00,48.0
2017-07-14 16:52:00,48.0
2017-07-14 16:55:00,46.0
2017-07-14 17:02:00,45.0
2017-07-14 17:08:00,44.0
2017-07-22 14:35:00,41.0
2017-07-22 14:46:00,48.0
2017-07-22 14:52:00,40.0
2017-07-22 17:57:00,44.0
2017-07-22 18:02:00,44.0
