valid_time_gmt,precip_total
2014-04-16 07:52:00,1.43
2014-04-30 07:52:00,1.63
2014-05-01 07:52:00,2.45
2014-05-16 07:52:00,2.42
2014-07-11 07:52:00,1.31
2014-07-16 07:52:00,1.71
2014-10-16 07:52:00,1.42
2015-06-02 07:52:00,2.9
2015-06-21 07:52:00,2.4
2015-06-28 07:52:00,2.55
2015-09-30 07:52:00,1.65
2015-12-24 06:52:00,1.76
2017-04-07 07:52:00,1.57
2017-07-24 07:52:00,1.38
2017-07-29 07:52:00,3.75
