,max_temp
82.0,0.00154267688977919
64.0,0.0013124266077225945
86.0,0.001289401579516935
73.0,0.0012433515231056159
83.0,0.0011973014666942967
79.0,0.0011742764384886372
81.0,0.001128226382077318
77.0,0.001128226382077318
70.0,0.0011052013538716584
84.0,0.0011052013538716584
44.0,0.0011052013538716584
76.0,0.001082176325665999
78.0,0.0010591512974603395
68.0,0.0010361262692546798
85.0,0.0010361262692546798
65.0,0.0010131012410490203
80.0,0.0009670511846377012
57.0,0.0009440261564320416
63.0,0.0009440261564320416
55.0,0.0009440261564320416
71.0,0.0008979761000207225
50.0,0.0008979761000207225
69.0,0.0008979761000207225
62.0,0.0008979761000207225
60.0,0.0008979761000207225
72.0,0.000874951071815063
36.0,0.0008519260436094034
59.0,0.0008519260436094034
89.0,0.0008289010154037439
54.0,0.0008289010154037439
74.0,0.0008289010154037439
87.0,0.0008289010154037439
48.0,0.0008058759871980843
53.0,0.0008058759871980843
88.0,0.0008058759871980843
38.0,0.0007828509589924247
42.0,0.0007828509589924247
33.0,0.0007598259307867653
52.0,0.0007598259307867653
37.0,0.0007368009025811057
61.0,0.0007368009025811057
47.0,0.0007368009025811057
66.0,0.0007368009025811057
49.0,0.0007368009025811057
75.0,0.0007368009025811057
40.0,0.0007137758743754461
39.0,0.0006907508461697865
41.0,0.0006907508461697865
30.0,0.0006907508461697865
35.0,0.000667725817964127
45.0,0.000667725817964127
67.0,0.000667725817964127
51.0,0.0006447007897584675
46.0,0.0006216757615528079
58.0,0.0006216757615528079
91.0,0.0005986507333471484
29.0,0.0005756257051414888
34.0,0.0005526006769358292
28.0,0.0005065506205245102
27.0,0.0005065506205245102
94.0,0.0005065506205245102
43.0,0.00046050056411319103
56.0,0.0004374755359075315
26.0,0.00041445050770187194
31.0,0.00041445050770187194
90.0,0.00039142547949621236
92.0,0.00036840045129055284
93.0,0.00032235039487923375
24.0,0.0002532753102622551
22.0,0.0002532753102622551
25.0,0.00023025028205659551
21.0,0.00020722525385093597
95.0,0.00020722525385093597
19.0,0.00018420022564527642
98.0,0.00018420022564527642
32.0,0.00018420022564527642
20.0,0.00018420022564527642
97.0,0.00016117519743961688
18.0,0.0001381501692339573
96.0,9.210011282263821e-05
100.0,9.210011282263821e-05
23.0,9.210011282263821e-05
15.0,9.210011282263821e-05
17.0,6.907508461697865e-05
10.0,6.907508461697865e-05
13.0,4.6050056411319105e-05
14.0,4.6050056411319105e-05
16.0,4.6050056411319105e-05
99.0,2.3025028205659553e-05
101.0,2.3025028205659553e-05
11.0,2.3025028205659553e-05
9.0,2.3025028205659553e-05
