,heat_index
73.0,0.02622550712624623
72.0,0.024890055490317975
75.0,0.022173102162050148
74.0,0.021390251203057722
57.0,0.021367226174852063
79.0,0.021298151090235085
70.0,0.021252101033823766
71.0,0.020975800695355852
63.0,0.020561350187653978
54.0,0.019755474200455897
43.0,0.01901867329787479
76.0,0.018949598213257812
64.0,0.018880523128640834
80.0,0.018834473072229515
55.0,0.018604222790172917
45.0,0.01807464714144275
39.0,0.017660196633740875
68.0,0.017660196633740875
50.0,0.017591121549123897
66.0,0.01752204646450692
61.0,0.01745297137988994
59.0,0.01745297137988994
52.0,0.016785245561925812
69.0,0.0165089452234579
46.0,0.01646289516704658
58.0,0.016232644884989985
62.0,0.01586424443369943
51.0,0.015518869010614538
82.0,0.01544979392599756
56.0,0.015265593700352282
67.0,0.015242568672146623
53.0,0.015173493587529644
41.0,0.015035343418295688
44.0,0.01492021827726739
65.0,0.01482811816444475
37.0,0.01482811816444475
81.0,0.014805093136239091
48.0,0.014666942967005134
34.0,0.014643917938799475
60.0,0.014275517487508922
40.0,0.01388409200801271
42.0,0.013538716584927817
36.0,0.013492666528516497
47.0,0.012686790541318414
49.0,0.012502590315673136
38.0,0.012180239920793904
83.0,0.01130528884897884
84.0,0.010660588059220372
35.0,0.01022311252331284
30.0,0.010131012410490203
33.0,0.009348161451497777
28.0,0.009325136423292118
27.0,0.009002786028412885
32.0,0.008864635859178927
85.0,0.008611360548916673
31.0,0.007874559646335566
78.0,0.007805484561718588
29.0,0.007506159195045014
25.0,0.007298933941194078
86.0,0.006516082982201653
26.0,0.005963482305265824
88.0,0.005917432248854505
87.0,0.005364831571918675
24.0,0.004812230894982846
89.0,0.004789205866777187
23.0,0.004743155810365868
22.0,0.0038451797103451453
90.0,0.0036609794846998688
21.0,0.00359190440008289
91.0,0.0033616541180262944
19.0,0.0032695540052036566
92.0,0.0029241785821187633
20.0,0.0027399783564734867
93.0,0.0022794777923602957
18.0,0.0021873776795376574
95.0,0.0020722525385093596
94.0,0.0018189772282471046
16.0,0.0017729271718357855
15.0,0.0016578020308074877
17.0,0.0015887269461905091
96.0,0.0011512514102829776
97.0,0.0008979761000207225
13.0,0.0008058759871980843
10.0,0.0007368009025811057
98.0,0.0007137758743754461
12.0,0.0007137758743754461
14.0,0.0006907508461697865
9.0,0.0006216757615528079
99.0,0.0005756257051414888
11.0,0.0005295756487301697
8.0,0.00039142547949621236
5.0,0.00034537542308489327
102.0,0.0002993253666735742
100.0,0.0002763003384679146
105.0,0.00023025028205659551
101.0,0.00023025028205659551
7.0,0.00018420022564527642
6.0,0.00018420022564527642
103.0,0.00018420022564527642
104.0,0.0001381501692339573
77.0,0.0001381501692339573
4.0,0.0001381501692339573
106.0,0.00011512514102829776
3.0,9.210011282263821e-05
110.0,6.907508461697865e-05
108.0,4.6050056411319105e-05
111.0,2.3025028205659553e-05
2.0,2.3025028205659553e-05
1.0,2.3025028205659553e-05
