,wdir_cardinal
NE,0.11625336741037508
S,0.11540144136676568
NW,0.0988234210586908
ENE,0.06845340885542585
W,0.06550620524510142
WNW,0.060947249660380835
SW,0.06060187423729594
NNW,0.05972692316548088
N,0.05850659667058092
SSW,0.054592341875618795
CALM,0.04535930556514932
NNE,0.04199765144712302
SSE,0.03840574704704013
WSW,0.03651769473417605
E,0.029011535539131036
SE,0.019294973636342704
VAR,0.017291796182450324
ESE,0.012917040823375008
