,uv_index
0,0.505077018719348
1,0.21196840966130184
2,0.07600561810688218
3,0.05136883792682646
4,0.03504409292901384
5,0.026110381985217933
6,0.011190163707950541
7,0.005917432248854505
-4,0.003016278694941401
-5,0.0024636780180055723
-3,0.002371577905182934
8,0.002371577905182934
-6,0.00154267688977919
-2,0.001289401579516935
-7,0.001128226382077318
-1,0.0009900762128433607
-8,0.000874951071815063
-12,0.0008289010154037439
-20,0.0008289010154037439
-42,0.0007137758743754461
-22,0.0007137758743754461
-13,0.0006907508461697865
-15,0.0006907508461697865
-9,0.0006907508461697865
-10,0.000667725817964127
-21,0.0006447007897584675
-53,0.0005986507333471484
-29,0.0005986507333471484
-17,0.0005756257051414888
-30,0.0005756257051414888
-14,0.0005756257051414888
-19,0.0005756257051414888
-23,0.0005756257051414888
-11,0.0005756257051414888
-16,0.0005756257051414888
-27,0.0005526006769358292
-41,0.00046050056411319103
-35,0.0004374755359075315
-84,0.0004374755359075315
-31,0.0004374755359075315
-56,0.00041445050770187194
-26,0.00041445050770187194
-73,0.00041445050770187194
-60,0.00041445050770187194
-61,0.00041445050770187194
-58,0.00041445050770187194
-38,0.00041445050770187194
-70,0.00041445050770187194
-45,0.00041445050770187194
-97,0.00039142547949621236
-65,0.00039142547949621236
-18,0.00039142547949621236
-72,0.00039142547949621236
-25,0.00039142547949621236
-99,0.00039142547949621236
-80,0.00036840045129055284
-77,0.00036840045129055284
-36,0.00036840045129055284
-43,0.00036840045129055284
-40,0.00036840045129055284
-24,0.00036840045129055284
-48,0.00036840045129055284
-52,0.00036840045129055284
-44,0.00036840045129055284
-67,0.00034537542308489327
-69,0.00034537542308489327
-95,0.00034537542308489327
-37,0.00034537542308489327
-32,0.00034537542308489327
-49,0.00032235039487923375
-76,0.00032235039487923375
-51,0.00032235039487923375
-47,0.00032235039487923375
-28,0.00032235039487923375
-33,0.00032235039487923375
-57,0.0002993253666735742
-88,0.0002993253666735742
-39,0.0002993253666735742
-59,0.0002993253666735742
-63,0.0002993253666735742
-100,0.0002993253666735742
-86,0.0002993253666735742
-98,0.0002993253666735742
-90,0.0002993253666735742
-62,0.0002993253666735742
-50,0.0002763003384679146
-139,0.0002763003384679146
-104,0.0002763003384679146
-34,0.0002763003384679146
-101,0.0002763003384679146
-46,0.0002763003384679146
-89,0.0002763003384679146
-94,0.0002532753102622551
-83,0.0002532753102622551
-91,0.0002532753102622551
-105,0.0002532753102622551
-92,0.0002532753102622551
-123,0.00023025028205659551
-122,0.00023025028205659551
-55,0.00023025028205659551
-81,0.00023025028205659551
-74,0.00023025028205659551
-117,0.00023025028205659551
-68,0.00023025028205659551
-66,0.00023025028205659551
-87,0.00023025028205659551
-54,0.00023025028205659551
-64,0.00023025028205659551
-103,0.00023025028205659551
-96,0.00020722525385093597
-187,0.00020722525385093597
-107,0.00020722525385093597
-75,0.00020722525385093597
-148,0.00020722525385093597
-85,0.00020722525385093597
-106,0.00020722525385093597
-133,0.00020722525385093597
-109,0.00020722525385093597
-79,0.00020722525385093597
-142,0.00020722525385093597
-110,0.00020722525385093597
-102,0.00020722525385093597
-112,0.00020722525385093597
-227,0.00018420022564527642
-78,0.00018420022564527642
-124,0.00018420022564527642
-163,0.00018420022564527642
-82,0.00018420022564527642
-319,0.00016117519743961688
-131,0.00016117519743961688
-222,0.00016117519743961688
-141,0.00016117519743961688
-158,0.00016117519743961688
-151,0.00016117519743961688
-149,0.00016117519743961688
-114,0.00016117519743961688
-111,0.00016117519743961688
-108,0.00016117519743961688
-125,0.00016117519743961688
-145,0.00016117519743961688
-179,0.00016117519743961688
-127,0.00016117519743961688
-232,0.0001381501692339573
-431,0.0001381501692339573
-190,0.0001381501692339573
-71,0.0001381501692339573
-233,0.0001381501692339573
-136,0.0001381501692339573
-169,0.0001381501692339573
-130,0.0001381501692339573
-137,0.0001381501692339573
-159,0.0001381501692339573
-162,0.0001381501692339573
-118,0.0001381501692339573
-119,0.0001381501692339573
-126,0.0001381501692339573
-120,0.0001381501692339573
-121,0.0001381501692339573
-147,0.0001381501692339573
-140,0.0001381501692339573
-261,0.0001381501692339573
-146,0.00011512514102829776
-399,0.00011512514102829776
-313,0.00011512514102829776
-150,0.00011512514102829776
-153,0.00011512514102829776
-116,0.00011512514102829776
-154,0.00011512514102829776
-416,0.00011512514102829776
-174,0.00011512514102829776
-248,0.00011512514102829776
-172,0.00011512514102829776
-115,0.00011512514102829776
-202,0.00011512514102829776
-129,0.00011512514102829776
-245,0.00011512514102829776
-204,0.00011512514102829776
-198,0.00011512514102829776
-214,0.00011512514102829776
-177,0.00011512514102829776
-171,0.00011512514102829776
-113,0.00011512514102829776
-213,0.00011512514102829776
-167,0.00011512514102829776
-191,0.00011512514102829776
-93,0.00011512514102829776
-135,0.00011512514102829776
-157,0.00011512514102829776
-396,0.00011512514102829776
-180,0.00011512514102829776
-268,0.00011512514102829776
-211,9.210011282263821e-05
-209,9.210011282263821e-05
-338,9.210011282263821e-05
-243,9.210011282263821e-05
-207,9.210011282263821e-05
-175,9.210011282263821e-05
