,wdir
50.0,0.06697980705026364
310.0,0.052773364647371694
40.0,0.04927356036011144
320.0,0.0460500564113191
60.0,0.04572770601643987
170.0,0.04459947963436255
180.0,0.043724528562547486
300.0,0.0380833966521609
330.0,0.035872993944417585
220.0,0.03292579033409316
210.0,0.03147521355713661
260.0,0.028574060003223503
230.0,0.02767608390320278
190.0,0.027077433169855634
160.0,0.024913080518523634
30.0,0.02413022955953121
340.0,0.023853929221063296
200.0,0.02311712831848219
290.0,0.022863853008219935
70.0,0.02272570283898598
270.0,0.022288227303078445
10.0,0.019939674426101173
350.0,0.019594299003016277
240.0,0.019156823467108747
360.0,0.01897262324146347
20.0,0.017867421887591814
250.0,0.017360871267067302
280.0,0.014643917938799475
150.0,0.013492666528516497
80.0,0.011719739356680713
140.0,0.010015887269461905
130.0,0.009279086366880799
90.0,0.009071861113029864
100.0,0.00821993506942046
120.0,0.006976583546314845
110.0,0.005940457277060164
