,osmid,geometry,fclass,name
0,60471261,POINT (-77.0316916 38.9154323),pub,Cafe Saint Ex
1,291675307,POINT (-77.0463218 38.8992306),university,The George Washington University
2,306011118,POINT (-77.0161077 38.9076915),fire_station,District of Columbia Fire and Emergency Medical Services Engine Company 6
3,306011599,POINT (-77.0496801 38.9055403),fire_station,DC Fire Department Engine Company No. 1
4,306020851,POINT (-77.0109473 38.8958177),fire_station,DC Fire Department Engine Co. 3
5,306031609,POINT (-77.0250333 38.9234165),fire_station,DC Fire Dept. Engine Co. 4
6,306496893,POINT (-76.9867404 38.901548),fire_station,DC Fire Department Engine Co. 10
7,306499334,POINT (-77.0330285 38.9322767),fire_station,DC Fire Department Engine Co. 11
8,306500868,POINT (-77.0193376 38.8836063),fire_station,DC Fire Department Engine No. 13
9,306507109,POINT (-76.9860763 38.8648489),fire_station,DC Fire Department Engine Co. 15
10,306508304,POINT (-77.0298555 38.9033027),fire_station,DC Fire Department Engine Co. 16
11,306511654,POINT (-76.994654 38.883254),fire_station,DC Fire Department Engine Co. 18
12,306512939,POINT (-77.0783533 38.9449442),fire_station,DC Fire Department Engine Co. 20
13,306514470,POINT (-77.0422282 38.9247122),fire_station,DC Fire Department Engine Co. 21
14,306515312,POINT (-77.0283389 38.9600288),fire_station,DC Fire Department Engine Co. 22
15,306516802,POINT (-77.0007438 38.8432177),fire_station,D Fire Department Engine Co. 25
16,307055376,POINT (-77.0593927 38.9363767),fire_station,DC Fire Department Engine Co. 28
17,307072199,POINT (-76.9334296 38.8907105),fire_station,DC Fire Department Engine Co. 30
18,307076753,POINT (-77.0699241 38.9542667),fire_station,DC Fire Department Engine Co. 31
19,307120468,POINT (-77.0051261 38.8308851),fire_station,DC Fire Department Engine Co. 33
20,309514349,POINT (-77.07211 38.9068086),bicycle_parking,
21,309514504,POINT (-77.0745001 38.9078818),bicycle_parking,
22,340147839,POINT (-77.0329341 38.9284669),fast_food,Potbelly's
23,340147854,POINT (-77.033256 38.9285921),fast_food,Five Guys
24,340148262,POINT (-77.0293894 38.916843),cafe,Starbucks
25,356606026,POINT (-77.0111 38.8443),post_office,Bolling Air Force Base Post Office
26,358237577,POINT (-77.0463661 38.9720548),park,Rock Creek Park
27,358255878,POINT (-77.0784559 38.9660907),place_of_worship,Chevy Chase Baptist Church
28,358256028,POINT (-76.977727 38.945411),place_of_worship,Givens Bible Church
29,358256058,POINT (-76.918069 38.89637),place_of_worship,Holy Truth of God in Christ Jesus Church
30,358256108,POINT (-77.030334 38.987003),place_of_worship,Saint Marys Baptist Church
31,358256156,POINT (-77.0126739 38.9733152),place_of_worship,Takoma Park Seventh Day Adventist Church
32,358256277,POINT (-76.9655041 38.9342396),place_of_worship,Mountain of Fire Miracles Ministries Church
33,358256347,POINT (-76.979309 38.943813),place_of_worship,Rhema Christian Center Church
34,358954671,POINT (-76.9691416 38.8781678),park,Anacostia Park
35,358954680,POINT (-77.00455 38.84156),school,Assumption Elementary School
36,358954684,POINT (-77.0323 38.91794),school,Saint Augustine School
37,358954698,POINT (-76.9705308 38.9395555),park,Barnard Hill Park
38,358954702,POINT (-76.9969203 38.9009451),school,Blair School
39,358954707,POINT (-76.9827534 38.9203892),park,Brentwood Village Playground
40,358954711,POINT (-76.97089 38.90258),school,Browne Junior High School
41,358954716,POINT (-76.9869199 38.8870564),school,Bryan School
42,358954721,POINT (-77.0171986 38.9087227),school,Bundy School
43,358954726,POINT (-77.0435882 38.9223335),school,Columbian School
44,358954730,POINT (-77.0007631 38.8432257),school,Congress Heights School
45,358954740,POINT (-76.961086 38.9215004),park,Dakota Playground
46,358954745,POINT (-77.07521 38.95288),school,Deal Junior High School
47,358954748,POINT (-77.0642582 38.9434733),school,University of The District Of Columbia
48,358954752,POINT (-76.9884873 38.8559917),school,Douglass Jr High (former)
49,358954765,POINT (-76.994013 38.8945691),school,Edmonds School
50,358954768,POINT (-76.97901 38.89265),school,Eliot Junior High School
51,358954774,POINT (-76.9198705 38.8901413),school,Evans Middle School
52,358954787,POINT (-76.949141 38.8684458),park,Fort Davis Park
53,358954807,POINT (-77.0523017 38.9076687),school,Francis Junior High School
54,358954811,POINT (-77.0257 38.91765),school,Garnet - Patterson Junior High School
55,358954822,POINT (-77.0249766 38.9165003),school,Grimke School
56,358954825,POINT (-77.0216431 38.8859453),park,Hancock Park
57,358954836,POINT (-76.9971504 38.8375625),school,Hart Middle School
58,358954843,POINT (-76.9992096 38.9027379),school,Hayes School
59,358954849,POINT (-76.99531 38.88534),school,Hine Junior High School
60,358954867,POINT (-77.0612339 38.9127565),school,Jackson School
61,358954878,POINT (-76.9323253 38.893207),school,Kelly Miller Junior High School
62,358954885,POINT (-77.0058095 38.9148337),school,Langley Junior High School
63,358954890,POINT (-77.002476 38.8984451),school,Logan School
64,358954898,POINT (-76.9905312 38.8951119),school,Lovejoy School
65,358954901,POINT (-76.9921979 38.8984451),school,Madison School
66,358954906,POINT (-77.0374771 38.9848324),school,Marjorie Webster Junior College (historical)
67,358954908,POINT (-77.0319213 38.962055),school,Military Road School
68,358954910,POINT (-77.0402548 38.9184447),school,Morgan School
