,osmid,geometry,fclass,name
2775,690869458,POINT (-77.043746 38.90072),cafe,Soho Cafe & Market
2776,690871464,POINT (-77.04335 38.900336),kiosk,Newspaper Boxes
2777,690873347,POINT (-77.043243 38.900908),bicycle_parking,Bike Racks
2778,690883806,POINT (-77.0436257 38.9010064),information,Nineteenth Street Baptist Church
2779,690888131,POINT (-77.0437681 38.901159),pub,19th Bar
2780,690889293,POINT (-77.0438747 38.901481),cafe,Sandella's
2781,690891025,POINT (-77.0441322 38.9014768),embassy,Embassy of Uruguay
2782,690891990,POINT (-77.0432257 38.9014056),vending,
2783,690893447,POINT (-77.0436682 38.9013973),vending,
2784,690900129,POINT (-77.0437406 38.9018565),parking,Park America
2785,690903084,POINT (-77.0437433 38.901748),parking,Presidential Plaza
2786,690906277,POINT (-77.0435904 38.9022907),food_cart,
2787,691432436,POINT (-77.080185 38.948134),electronics,Best Buy
2788,691439767,POINT (-77.080263 38.948285),furniture,Container Store
2789,691440473,POINT (-77.080477 38.948451),doityourself,Ace Hardware
2790,691441479,POINT (-77.0812 38.952949),bank,TD Bank
2791,691446417,POINT (-77.0853052 38.9606625),pharmacy,CVS
2792,691451516,POINT (-77.085826 38.96008),department_store,Neiman Marcus
2793,691452430,POINT (-77.0860981 38.9601574),fast_food,McDonald's
2794,693123899,POINT (-77.073074 38.936967),arts_centre,Washington Ballet
2795,693125244,POINT (-77.0825329 38.9535103),fuel,Shell
2796,693168521,POINT (-77.0848176 38.959699),cafe,Corner Bakery
2797,693940923,POINT (-77.062585 38.943413),bank,Bank of America
2798,693942612,POINT (-77.0519682 38.9237266),fast_food,Chipotle
2799,693956112,POINT (-77.055226 38.909583),convenience,7-Eleven
2800,693960686,POINT (-77.0459493 38.914903),pharmacy,Rite-Aid
2801,694037143,POINT (-77.007548 38.8756461),kiosk,
2802,694037144,POINT (-77.0057133 38.8739172),kiosk,
2803,694037145,POINT (-77.0057133 38.8740508),kiosk,
2804,694037146,POINT (-77.0057348 38.873178),kiosk,
2805,694037147,POINT (-77.0057348 38.8733324),kiosk,
2806,694037148,POINT (-77.0075909 38.874907),kiosk,
2807,694037149,POINT (-77.0075533 38.8751575),kiosk,
2808,694037150,POINT (-77.0075533 38.875266),kiosk,
2809,694037151,POINT (-77.007548 38.8753997),kiosk,
2810,694037152,POINT (-77.007548 38.8755207),kiosk,
2811,694037153,POINT (-77.0078913 38.874694),kiosk,
2812,694037154,POINT (-77.0077411 38.874694),kiosk,
2813,694037155,POINT (-77.0075962 38.874694),kiosk,
2814,694037156,POINT (-77.0075909 38.8747774),kiosk,
2815,694040985,POINT (-77.0283398 38.8980947),bank,SunTrust Bank
2816,694387916,POINT (-77.0645714 38.9031542),bicycle,CycleLife USA
2817,694388665,POINT (-77.0645607 38.9030874),cafe,CycleLife Cafe
2818,694393802,POINT (-77.0639759 38.9029538),doityourself,Georgetown Floorcoverings
2819,694525699,POINT (-77.0622891 38.9027291),parking,Central Parking
2820,694526720,POINT (-77.0620289 38.9027468),fast_food,Hershey's
2821,694527806,POINT (-77.0607197 38.9027242),parking,Colonial Parking
2822,694532806,POINT (-77.0596363 38.9027844),parking,Colonial Parking
2823,694537686,POINT (-77.0589066 38.9021063),parking,Colonial Parking - Coal House
2824,694538723,POINT (-77.0593661 38.9013932),restaurant,Sequoia Grill
2825,694539805,POINT (-77.0597059 38.9013006),restaurant,Tony & Joe's Seafood Place
2826,694540312,POINT (-77.059561 38.9011002),bicycle_parking,Bike Racks
2827,694544536,POINT (-77.0603028 38.9016428),restaurant,Cabanas
2828,694547398,POINT (-77.0605964 38.9015135),restaurant,Nick's Riverside Grille
2829,694685665,POINT (-77.0602638 38.9021147),cafe,Starbucks
2830,694685683,POINT (-77.0588154 38.9012589),embassy,Embassy of Iceland
2831,694835910,POINT (-77.0448289 38.915397),post_office,Post Office
2832,694948894,POINT (-77.037104 38.916637),fast_food,Subway
2833,694948940,POINT (-77.037218 38.91652),dry_cleaning,Jin's Cleaners
2834,695008020,POINT (-77.0446563 38.9124508),cafe,Cosi
2835,695008022,POINT (-77.0459358 38.9127576),cafe,Teaism
2836,697437112,POINT (-77.0648836 38.9052844),clothes,Lululemon Athletica
2837,697437292,POINT (-77.0648085 38.9052844),clothes,Levi's Store
2838,697437422,POINT (-77.0646303 38.9052877),clothes,Coach
2839,701593544,POINT (-77.0521076 38.925133),restaurant,Pizze
2840,701593710,POINT (-77.0520057 38.9251747),restaurant,Petits Plats
2841,701593953,POINT (-77.0520701 38.9250621),restaurant,Trattoria Italiana
2842,701594483,POINT (-77.0520432 38.9249953),restaurant,Cafe Paradiso
