Date,Holiday,Holiday_Type
2012/9/28,0,None
2012/9/29,1,weekend
2012/9/30,1,weekend
2012/10/1,0,None
2012/10/2,0,None
2012/10/3,0,None
2012/10/4,0,None
2012/10/5,0,None
2012/10/6,1,weekend
2012/10/7,1,weekend
2012/10/8,0,None
2012/10/9,0,None
2012/10/10,0,None
2012/10/11,0,None
2012/10/12,0,None
2012/10/13,1,weekend
2012/10/14,1,weekend
2012/10/15,0,None
2012/10/16,0,None
2012/10/17,0,None
2012/10/18,0,None
2012/10/19,0,None
2012/10/20,1,weekend
2012/10/21,1,weekend
2012/10/22,0,None
2012/10/23,0,None
2012/10/24,0,None
2012/10/25,0,None
2012/10/26,0,None
2012/10/27,1,weekend
2012/10/28,1,weekend
2012/10/29,0,None
2012/10/30,0,None
2012/10/31,0,None
2012/11/1,0,None
2012/11/2,0,None
2012/11/3,1,weekend
2012/11/4,1,weekend
2012/11/5,0,None
2012/11/6,0,None
2012/11/7,0,None
2012/11/8,0,None
2012/11/9,0,None
2012/11/10,1,weekend
2012/11/11,1,Veterans Day
2012/11/12,1,Veterans Day (Observed)
2012/11/13,0,None
2012/11/14,0,None
2012/11/15,0,None
2012/11/16,0,None
2012/11/17,1,weekend
2012/11/18,1,weekend
2012/11/19,0,None
2012/11/20,0,None
2012/11/21,0,None
2012/11/22,1,Thanksgiving Day
2012/11/23,1,Thanksgiving Friday
2012/11/24,1,weekend
2012/11/25,1,weekend
2012/11/26,0,None
2012/11/27,0,None
2012/11/28,0,None
2012/11/29,0,None
2012/11/30,0,None
2012/12/1,1,weekend
2012/12/2,1,weekend
2012/12/3,0,None
2012/12/4,0,None
2012/12/5,0,None
2012/12/6,0,None
2012/12/7,0,None
2012/12/8,1,weekend
2012/12/9,1,weekend
2012/12/10,0,None
2012/12/11,0,None
2012/12/12,0,None
2012/12/13,0,None
2012/12/14,0,None
2012/12/15,1,weekend
2012/12/16,1,weekend
2012/12/17,0,None
2012/12/18,0,None
2012/12/19,0,None
2012/12/20,0,None
2012/12/21,0,None
2012/12/22,1,weekend
2012/12/23,1,weekend
2012/12/24,0,None
2012/12/25,1,Christmas Day
2012/12/26,0,None
2012/12/27,0,None
2012/12/28,0,None
2012/12/29,1,weekend
2012/12/30,1,weekend
2012/12/31,0,None
