valid_time_gmt,precip_total
2014-07-01 06:51:00,1.87
2014-08-05 06:51:00,1.89
2014-08-22 06:51:00,4.22
2015-06-16 06:53:00,1.75
2015-09-19 06:53:00,1.7
2016-08-13 06:53:00,2.25
2017-04-30 06:53:00,1.88
