osmid,geometry,created_by,man_made,name,leisure,amenity,addr:street,addr:housenumber
357552223,POINT (-73.9040255 40.6367708),,,Canarsie Cemetery,,grave_yard,,
357552228,POINT (-73.898192 40.6406596),,,Canarsie High School,,school,,
357552232,POINT (-73.8912474 40.6281598),,,Canarsie Park,park,,,
357552375,POINT (-73.8406899 40.8831553),,,Cardinal Spellman High School,,school,,
357552378,POINT (-73.75694 40.75167),,,Benjamin Cardozo High School,,school,,
357552500,POINT (-73.995417 40.6812142),,,Carroll Park,park,,,
357552616,POINT (-73.7214122 40.7496469),,,Public School Q186 Castlewood,,school,,
357552686,POINT (-73.7334077 40.7471619),,,Cathedral College,,school,,
357552769,POINT (-73.8312457 40.7356579),,,Cedar Grove Cemetery,,grave_yard,,
357552875,POINT (-73.9001366 40.6862142),,,Cemetery of the Evergreens,,grave_yard,,
357553445,POINT (-73.8329124 40.6489928),,,Frank M Charles Memorial Park,park,,,
357553711,POINT (-73.88917 40.71083),,,Christ the King Regional High School,,school,,
357553723,POINT (-74.092928 40.6434361),,,Christ Church,,place_of_worship,,
357553742,POINT (-73.916248 40.5617722),,,Christ Community Church,,place_of_worship,,
357553795,POINT (-73.8575 40.85917),,,Christopher Columbus High School,,school,,
357553949,POINT (-73.9645828 40.7684347),,,City University of New York Hunter College,,school,,
357553956,POINT (-73.81917 40.73694),,,City University of New York Queens College,,school,,
357553961,POINT (-73.9494573 40.820248),,,City University of New York the City College,,school,,
357553993,POINT (-73.9618049 40.6689923),,,Clara Barton High School,,school,,
357554092,POINT (-73.86333 40.82222),,,Public School 100,,school,,
357554151,POINT (-73.91 40.71167),,,Grover Cleveland High School,,school,,
357554167,POINT (-73.9109702 40.7109359),,,Grover Cleveland Park,park,,,
357554310,POINT (-73.7452809 40.7474349),,,Public School 213,,school,,
357554659,POINT (-73.9423116 40.7704141),,,Coler - Goldwater Memorial Hospital Coler Campus,,hospital,,
357554717,POINT (-73.8515238 40.7931568),,,Hermon A MacNeil Park,park,,,
357554985,POINT (-73.965044 40.5852637),,,Coney Island Hospital,,hospital,,
357554996,POINT (-74.0893399 40.6288151),,,Notre Dame Academy,,school,,
357555174,POINT (-73.9906947 40.7295465),,,Cooper Union Institute,,school,,
357555293,POINT (-73.9537492 40.7653793),,,Weill Medical College and Graduate School of Medical Sciences,,school,,
357555345,POINT (-73.8904138 40.8156564),,,Corpus Christi Monastery,,place_of_worship,,
357555352,POINT (-73.902215 40.7567593),,,Corpus Christi School,,school,,
357555434,POINT (-74.1640324 40.6095484),,,Moore Catholic High School,,school,,
357555693,POINT (-73.731793 40.7413715),,,Creedmoor Psychiatric Center,,hospital,,
357555717,POINT (-73.7681882 40.7714907),,,Crocheron Park,park,,,
357555963,POINT (-73.9764115 40.6952035),,,Cumberland Diagnostic Treatment Center,,hospital,,
357555977,POINT (-73.7687439 40.7359357),,,Cunningham Park,park,,,
357556068,POINT (-73.8756914 40.6956586),,,Cypress Hills Cemetery,,grave_yard,,
357556182,POINT (-73.91278 40.83167),,,Daughters of Jacob Geriatric Center,,hospital,,
357556283,POINT (-73.8870801 40.8812108),,,DeWitt Clinton High School,,school,,
357556376,POINT (-73.9445819 40.839267),,,Delafield Hospital,,hospital,,
357556563,POINT (-73.9062474 40.8631555),,,Devoe Park,park,,,
357556824,POINT (-73.9115255 40.8178785),,,Dodge Vocational High School,,school,,
357556956,POINT (-74.134587 40.5637161),,,Douglass Cemetery,,grave_yard,,
357556999,POINT (-73.8826359 40.8103787),,,Joseph Rodman Drake Park,park,,,
357557023,POINT (-74.0812526 40.6203819),,,Intermediate School 49,,school,,
357557722,POINT (-73.9084701 40.6931586),,,Public School 151,,school,,
357557746,POINT (-73.9570826 40.7062137),,,Eastern District High School,,school,,
357557835,POINT (-73.9012473 40.8489891),,,Richman Park,park,,,
357557850,POINT (-73.8429122 40.8823219),,,Edenwald School,,school,,
357557890,POINT (-73.7989378 40.7163106),,,Edison High School,,school,,
357557968,POINT (-74.099864 40.5770493),,,Intermediate School 2,,school,,
357557991,POINT (-73.8462458 40.8501003),,,Albert Einstein College of Medicine of Yeshiva University,,school,,
357557995,POINT (-73.86083 40.82306),,,Intermediate School 131,,school,,
