,precip_hrly
0.0,0.024397873005943073
0.01,0.008758210822646231
0.02,0.004379105411323116
0.08,0.0025023459493274947
0.06,0.002189552705661558
0.13,0.001876759461995621
0.03,0.001876759461995621
0.04,0.0015639662183296842
0.09,0.0012511729746637473
0.15,0.0009383797309978105
0.1,0.0009383797309978105
0.07,0.0009383797309978105
0.19,0.0006255864873318737
0.12,0.0006255864873318737
0.2,0.0006255864873318737
0.11,0.0006255864873318737
0.05,0.0006255864873318737
0.17,0.0006255864873318737
0.23,0.0006255864873318737
0.14,0.0006255864873318737
0.18,0.00031279324366593683
0.24,0.00031279324366593683
0.22,0.00031279324366593683
