,max_temp
79.0,0.010322177040975915
77.0,0.00781983109164842
60.0,0.00781983109164842
62.0,0.007507037847982484
67.0,0.007507037847982484
63.0,0.007507037847982484
76.0,0.007194244604316547
74.0,0.007194244604316547
73.0,0.00688145136065061
75.0,0.00688145136065061
70.0,0.0065686581169846735
66.0,0.006255864873318737
58.0,0.0059430716296528
61.0,0.005630278385986863
65.0,0.005630278385986863
64.0,0.005630278385986863
53.0,0.005317485142320926
71.0,0.0046918986549890525
68.0,0.0046918986549890525
82.0,0.004379105411323116
59.0,0.004066312167657179
78.0,0.004066312167657179
56.0,0.004066312167657179
72.0,0.004066312167657179
69.0,0.004066312167657179
84.0,0.004066312167657179
54.0,0.004066312167657179
57.0,0.003440725680325305
86.0,0.0028151391929934315
80.0,0.0025023459493274947
81.0,0.0025023459493274947
52.0,0.002189552705661558
83.0,0.002189552705661558
51.0,0.001876759461995621
55.0,0.001876759461995621
85.0,0.0015639662183296842
89.0,0.0012511729746637473
87.0,0.0009383797309978105
47.0,0.0009383797309978105
48.0,0.0006255864873318737
49.0,0.0006255864873318737
92.0,0.0006255864873318737
88.0,0.0006255864873318737
95.0,0.0006255864873318737
43.0,0.00031279324366593683
45.0,0.00031279324366593683
