,pressure
29.09,0.04723177979355646
29.07,0.04598060681889271
29.05,0.04222708789490147
29.03,0.04066312167657179
29.11,0.040037535189239915
29.08,0.03784798248357835
29.17,0.036909602752580546
29.1,0.03628401626524867
29.04,0.03409446355958711
29.13,0.03346887707225524
29.01,0.03253049734125743
29.06,0.03159211761025962
29.12,0.029715358148264
28.99,0.029402564904598062
29.15,0.029402564904598062
28.97,0.029089771660932125
29.16,0.02846418517360025
29.19,0.02658742571160463
29.14,0.02564904598060682
29.02,0.025023459493274947
29.0,0.024397873005943073
28.98,0.0237722865186112
29.18,0.021895527056615578
28.96,0.021895527056615578
28.95,0.020957147325617768
29.22,0.019080387863622147
29.2,0.0178292148889584
29.23,0.014075695964967157
29.21,0.01376290272130122
29.24,0.01376290272130122
29.26,0.009696590553644042
28.94,0.009071004066312168
29.27,0.008445417578980294
28.93,0.00781983109164842
29.3,0.007194244604316547
29.28,0.00688145136065061
29.25,0.0065686581169846735
28.88,0.0059430716296528
29.29,0.0059430716296528
28.89,0.0059430716296528
28.86,0.005317485142320926
28.92,0.005317485142320926
29.31,0.004379105411323116
28.91,0.004066312167657179
29.33,0.003440725680325305
28.85,0.0031279324366593683
29.4,0.0031279324366593683
29.38,0.0028151391929934315
29.37,0.0028151391929934315
28.84,0.0028151391929934315
28.9,0.0025023459493274947
28.87,0.002189552705661558
29.32,0.002189552705661558
29.36,0.001876759461995621
28.83,0.0015639662183296842
29.34,0.0015639662183296842
29.39,0.0012511729746637473
28.8,0.0006255864873318737
29.35,0.0006255864873318737
29.41,0.0006255864873318737
28.82,0.00031279324366593683
28.81,0.00031279324366593683
