,min_temp
58.0,0.018142008132624336
59.0,0.012511729746637473
54.0,0.010947763528307789
60.0,0.010634970284641852
56.0,0.010634970284641852
57.0,0.010009383797309979
51.0,0.009696590553644042
55.0,0.009071004066312168
61.0,0.00781983109164842
52.0,0.006255864873318737
50.0,0.006255864873318737
49.0,0.0059430716296528
53.0,0.005630278385986863
45.0,0.005004691898654989
48.0,0.004379105411323116
43.0,0.004066312167657179
67.0,0.004066312167657179
47.0,0.004066312167657179
62.0,0.004066312167657179
46.0,0.003753518923991242
66.0,0.003440725680325305
63.0,0.0031279324366593683
64.0,0.0031279324366593683
65.0,0.0025023459493274947
68.0,0.0025023459493274947
69.0,0.002189552705661558
70.0,0.002189552705661558
75.0,0.001876759461995621
72.0,0.0015639662183296842
73.0,0.0015639662183296842
74.0,0.0015639662183296842
41.0,0.0015639662183296842
39.0,0.0012511729746637473
71.0,0.0012511729746637473
38.0,0.0012511729746637473
42.0,0.0006255864873318737
44.0,0.0006255864873318737
79.0,0.0006255864873318737
78.0,0.0006255864873318737
40.0,0.00031279324366593683
76.0,0.00031279324366593683
80.0,0.00031279324366593683
77.0,0.00031279324366593683
