,rh
83,0.053487644666875195
80,0.03722239599624648
87,0.030028151391929936
77,0.029715358148264
86,0.029089771660932125
78,0.027838598686268378
75,0.025023459493274947
88,0.0237722865186112
72,0.0237722865186112
67,0.021895527056615578
82,0.02064435408195183
93,0.020018767594619957
81,0.01970597435095402
90,0.019393181107288084
53,0.017516421645292463
94,0.017516421645292463
70,0.017203628401626526
57,0.01689083515796059
48,0.016265248670628715
55,0.016265248670628715
50,0.01595245542696278
52,0.015014075695964968
89,0.015014075695964968
61,0.013450109477635284
63,0.013137316233969347
65,0.01282452299030341
59,0.012198936502971536
69,0.0118861432593056
68,0.011573350015639663
58,0.011260556771973726
60,0.011260556771973726
51,0.011260556771973726
74,0.011260556771973726
54,0.010634970284641852
39,0.010009383797309979
64,0.010009383797309979
46,0.010009383797309979
41,0.009696590553644042
40,0.009696590553644042
42,0.009696590553644042
47,0.009696590553644042
62,0.009383797309978105
43,0.009383797309978105
84,0.009383797309978105
38,0.008758210822646231
100,0.008445417578980294
35,0.008445417578980294
66,0.008132624335314358
34,0.008132624335314358
36,0.008132624335314358
25,0.008132624335314358
56,0.00781983109164842
49,0.00781983109164842
71,0.00781983109164842
97,0.00781983109164842
44,0.007507037847982484
73,0.007194244604316547
27,0.00688145136065061
31,0.0065686581169846735
37,0.006255864873318737
45,0.006255864873318737
26,0.006255864873318737
30,0.0059430716296528
10,0.0059430716296528
96,0.0059430716296528
29,0.0059430716296528
23,0.005630278385986863
32,0.005630278385986863
28,0.005317485142320926
33,0.005004691898654989
24,0.0046918986549890525
76,0.004379105411323116
18,0.004066312167657179
17,0.003753518923991242
21,0.003753518923991242
9,0.003753518923991242
19,0.003753518923991242
20,0.003753518923991242
16,0.003753518923991242
22,0.003440725680325305
12,0.003440725680325305
14,0.0031279324366593683
15,0.0028151391929934315
79,0.0028151391929934315
92,0.0025023459493274947
11,0.002189552705661558
13,0.001876759461995621
8,0.0015639662183296842
5,0.0006255864873318737
85,0.0006255864873318737
4,0.0006255864873318737
