valid_time_gmt,gust
2014-06-27 20:30:00,53.0
2014-06-29 13:00:00,20.0
2014-07-08 19:05:00,51.0
2014-07-31 12:13:00,55.0
2014-07-31 14:33:00,54.0
2014-08-01 20:30:00,23.0
2014-09-08 22:30:00,58.0
2014-09-08 23:00:00,53.0
2014-09-08 23:30:00,51.0
2014-09-13 11:30:00,17.0
2014-09-20 09:30:00,21.0
2014-09-28 11:30:00,63.0
2014-09-28 12:00:00,59.0
2014-09-28 12:30:00,53.0
2014-09-28 13:00:00,55.0
2014-09-28 13:30:00,51.0
2014-09-28 14:00:00,56.0
2014-09-28 14:30:00,51.0
2014-09-28 15:00:00,58.0
2014-09-30 14:19:00,53.0
2014-09-30 15:13:00,54.0
2014-09-30 15:30:00,52.0
2014-09-30 15:37:00,51.0
2014-10-23 16:30:00,22.0
2014-11-20 20:30:00,21.0
2014-12-01 00:00:00,23.0
2014-12-13 16:00:00,17.0
2014-12-13 16:30:00,17.0
2014-12-16 18:03:00,51.0
2014-12-16 18:56:00,53.0
2014-12-16 19:00:00,53.0
2015-02-06 15:30:00,20.0
2015-02-14 13:30:00,22.0
2015-02-27 16:00:00,21.0
2015-02-28 20:20:00,63.0
2015-06-07 10:35:00,51.0
2015-06-07 11:00:00,53.0
2015-06-08 00:03:00,56.0
2015-06-08 02:00:00,23.0
2015-07-30 16:00:00,51.0
2015-07-30 16:33:00,52.0
2015-07-30 17:00:00,54.0
2015-10-06 13:00:00,61.0
2015-10-18 14:30:00,22.0
2015-10-25 22:48:00,23.0
2015-10-28 16:00:00,22.0
2015-11-05 13:56:00,51.0
2015-11-05 14:00:00,51.0
2015-11-25 15:23:00,58.0
2015-11-25 15:30:00,58.0
2015-11-25 16:05:00,51.0
2015-11-25 20:30:00,51.0
2015-11-25 22:00:00,54.0
2015-12-18 20:00:00,20.0
2016-01-13 09:00:00,23.0
2016-01-18 17:30:00,20.0
2016-02-15 12:30:00,23.0
2016-07-10 19:30:00,53.0
2016-08-09 02:00:00,54.0
2016-08-09 03:00:00,52.0
2016-08-09 04:39:00,52.0
2016-08-09 05:09:00,53.0
2016-08-09 05:30:00,51.0
2016-08-09 06:07:00,52.0
2016-08-09 06:30:00,51.0
2016-08-16 19:30:00,23.0
2016-08-18 19:30:00,51.0
2016-08-18 20:16:00,51.0
2016-08-18 20:30:00,51.0
2016-10-02 08:30:00,54.0
2016-10-02 09:00:00,56.0
2016-10-02 09:30:00,52.0
2016-10-02 10:30:00,51.0
2016-10-02 12:30:00,51.0
2016-10-02 15:30:00,53.0
2016-10-02 16:04:00,51.0
2016-10-04 17:54:00,51.0
2016-10-04 18:00:00,51.0
2016-10-09 07:30:00,53.0
2016-10-09 09:00:00,51.0
2016-10-09 10:30:00,61.0
2016-10-09 11:00:00,56.0
