osmid,source,geometry,created_by,highway,amenity,education,ele,gnis:county_id,gnis:created
344806004,,POINT (-87.6377346 41.9035282),,,,,,,
344806011,,POINT (-87.6391428 41.9035461),,,,,,,
344810051,,POINT (-87.6896668 41.9698905),,,fast_food,,,,
344810332,,POINT (-87.7093649 41.9833412),Potlatch 0.10f,,,,,,
345385501,,POINT (-87.648996 41.9374643),,,restaurant,,,,
345399383,,POINT (-87.6438103 41.9020383),,,parking,,,,
346207271,,POINT (-87.66165 41.9290156),,,restaurant,,,,
346210195,,POINT (-87.6535647 41.9291497),,,restaurant,,,,
346217055,,POINT (-87.6790391 41.9597431),Potlatch 0.10f,,post_box,,,,
346233089,,POINT (-87.6835267 41.9612616),,,cafe,,,,
346234680,,POINT (-87.6761596 41.9616382),,,cafe,,,,
346235240,,POINT (-87.6766491 41.9616342),,,restaurant,,,,
346236566,,POINT (-87.6835089 41.9605721),,,restaurant,,,,
346359040,,POINT (-87.6798386 41.9175738),,,pub,,,,
346368476,,POINT (-87.6761732 41.9615509),Potlatch 0.10f,,post_box,,,,
347158474,,POINT (-87.6316738 41.8859392),,,pub,,,,
347160446,,POINT (-87.638364 41.9126984),,,restaurant,,,,
347160634,,POINT (-87.6349479 41.9113379),,,cafe,,,,
347162170,,POINT (-87.6534874 41.9285367),,,cafe,,,,
347301872,,POINT (-87.6789343 41.9547023),Potlatch 0.10f,,cafe,,,,
347433838,,POINT (-87.6532745 41.9291567),,,pub,,,,
347433848,,POINT (-87.6584501 41.9288055),,,cafe,,,,
347433854,,POINT (-87.6620035 41.9287672),,,pub,,,,
347433859,,POINT (-87.662364 41.9287608),,,pub,,,,
347433861,,POINT (-87.6612825 41.9305296),,,pub,,,,
348165038,,POINT (-87.746859 41.9537297),Potlatch 0.10f,,,,,,
348168668,,POINT (-87.6889846 41.9610658),,,fuel,,,,
348168844,,POINT (-87.6581342 41.9668568),,,,,,,
349255925,,POINT (-87.6776508 41.9103108),,,cafe,,,,
349256451,,POINT (-87.6771374 41.9099225),,,pub,,,,
349258947,,POINT (-87.6383834 41.9128963),,,post_box,,,,
349259594,,POINT (-87.6585879 41.9261931),,,pub,,,,
353809731,,POINT (-87.6465893 41.904368),,,parking,,,,
353809757,,POINT (-87.6454478 41.9045916),,,parking,,,,
353809895,,POINT (-87.6443921 41.9044127),,,parking,,,,
354049461,,POINT (-87.6550543 41.9166992),,,,,180,031,01/15/1980
354049485,,POINT (-87.6558881 41.9339212),,,school,,182,031,09/30/1999
354049521,,POINT (-87.6069906 41.6578124),,,school,,179,031,09/30/1999
354049533,,POINT (-87.6570011 42.0025317),,,,,176,031,01/15/1980
354049543,,POINT (-87.6458876 41.9294768),,,school,,183,031,09/30/1999
354049578,,POINT (-87.6219919 41.6978121),,,school,,185,031,01/15/1980
354049615,,POINT (-87.6597769 41.9239213),,,hospital,,181,031,01/15/1980
354049632,,POINT (-87.6675533 41.8644772),,,school,,181,031,01/15/1980
354049727,,POINT (-87.6581059 41.7653115),,,school,,183,031,09/30/1999
354049740,,POINT (-87.6739435 41.9025324),,,school,,181,031,09/30/1999
354049826,,POINT (-87.531711 41.6922574),,,school,,178,031,01/15/1980
354049908,,POINT (-87.6711658 41.9116991),,,school,,182,031,01/15/1980
354049971,,POINT (-87.5600458 41.7167016),,,school,,178,031,01/15/1980
354050057,,POINT (-87.7122597 41.9741368),Potlatch 0.10f,,school,,181,031,01/15/1980
354050084,,POINT (-87.6500715 41.8340525),,,school,,180,031,09/30/1999
354050099,,POINT (-87.6467208 41.9189214),,,school,,182,031,01/15/1980
354050139,,POINT (-87.6847801 42.0105869),,,school,,187,031,09/30/1999
354050262,,POINT (-87.6270714 41.8249403),,,school,,182,031,09/30/1999
354050325,,POINT (-87.5911586 41.7483678),,,school,,182,031,01/15/1980
